Total TSPLIB instances detected: 228
#################  NN Test on TSPLIB_Survey (ICAM style)  #################
TSPLIB folder: /public/home/bayp/exp_survey_202509/0_data_survey/survey_bench_tsp
-----------------------------------------------------------------
[188/228] Instance: eil76, dim: 76, BKS: 538, NN cost: 642, GAP: 19.331%, time: 0.001s
[189/228] Instance: u2319, dim: 2319, BKS: 234256, NN cost: 278765, GAP: 19.000%, time: 0.116s
[190/228] Instance: mu1979, dim: 1979, BKS: 86891, NN cost: 120908, GAP: 39.149%, time: 0.089s
[191/228] Instance: wi29, dim: 29, BKS: 27603, NN cost: 36388, GAP: 31.826%, time: 0.000s
[192/228] Instance: rl5915, dim: 5915, BKS: 565530, NN cost: 695602, GAP: 23.000%, time: 0.613s
[193/228] Instance: kroE100, dim: 100, BKS: 22068, NN cost: 27460, GAP: 24.434%, time: 0.001s
[194/228] Instance: xqg237, dim: 237, BKS: 1019, NN cost: 1343, GAP: 31.796%, time: 0.004s
[195/228] Instance: dcc1911, dim: 1911, BKS: 6396, NN cost: 7978, GAP: 24.734%, time: 0.084s
[196/228] Instance: mlt2597, dim: 2597, BKS: 8071, NN cost: 9845, GAP: 21.980%, time: 0.140s
[197/228] Instance: rl1304, dim: 1304, BKS: 252948, NN cost: 335779, GAP: 32.746%, time: 0.045s
[198/228] Instance: berlin52, dim: 52, BKS: 7542, NN cost: 8980, GAP: 19.067%, time: 0.001s
[199/228] Instance: gr9882, dim: 9882, BKS: 300899, NN cost: 388944, GAP: 29.261%, time: 1.610s
[200/228] Instance: pla7397, dim: 7397, BKS: 23260728, NN cost: 28107289, GAP: 20.836%, time: 0.900s
[201/228] Instance: pia3056, dim: 3056, BKS: 8258, NN cost: 10632, GAP: 28.748%, time: 0.186s
[202/228] Instance: rl11849, dim: 11849, BKS: 923288, NN cost: 1125249, GAP: 21.874%, time: 2.262s
[203/228] Instance: icw1483, dim: 1483, BKS: 4416, NN cost: 5453, GAP: 23.483%, time: 0.056s
[204/228] Instance: portcgen-1000-10001, dim: 1000, BKS: 11376735, NN cost: 14166621, GAP: 24.523%, time: 0.030s
[205/228] Instance: ca4663, dim: 4663, BKS: 1290319, NN cost: 1646884, GAP: 27.634%, time: 0.397s
[206/228] Instance: lu980, dim: 980, BKS: 11340, NN cost: 14370, GAP: 26.720%, time: 0.029s
[207/228] Instance: bcl380, dim: 380, BKS: 1621, NN cost: 1925, GAP: 18.754%, time: 0.008s
[208/228] Instance: bnd7168, dim: 7168, BKS: 21834, NN cost: 27341, GAP: 25.222%, time: 0.880s
[209/228] Instance: pr299, dim: 299, BKS: 48191, NN cost: 59890, GAP: 24.276%, time: 0.006s
[210/228] Instance: rat99, dim: 99, BKS: 1211, NN cost: 1554, GAP: 28.324%, time: 0.001s
[211/228] Instance: u574, dim: 574, BKS: 36905, NN cost: 50459, GAP: 36.727%, time: 0.014s
[212/228] Instance: bva2144, dim: 2144, BKS: 6304, NN cost: 7698, GAP: 22.113%, time: 0.101s
[213/228] Instance: rat575, dim: 575, BKS: 6773, NN cost: 8605, GAP: 27.049%, time: 0.014s
[214/228] Instance: lin105, dim: 105, BKS: 14379, NN cost: 20356, GAP: 41.568%, time: 0.002s
[215/228] Instance: zi929, dim: 929, BKS: 95345, NN cost: 113926, GAP: 19.488%, time: 0.027s
